Unique ID,Price,date,Postcode,Property type,old/new,Duration,PAON,SAON,Street,Locality,Town,District,County,Record Status
{6E60ABC0-4E79-472C-9E1C-95828ADA760C},185000,04/05/2012 00:00,BA2 2DW,S,N,F,7,,WILLOW GREEN,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{EEF42349-39C6-4B8C-8044-97AD493FD13A},285000,03/05/2012 00:00,BA1 6JY,S,N,F,3,,CHARLCOMBE VIEW ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{0673471F-33E2-4971-96BA-97B1C2CD5AC6},138000,17/04/2012 00:00,BA1 5BG,F,Y,L,"LADYMEAD HOUSE, 110 - 112",FLAT 26,WALCOT STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{AA2E3719-06CE-4ACE-9E3A-97BCE0F7C336},670000,16/04/2012 00:00,BA1 3NR,S,N,F,24,,COMBE PARK,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{66B535AD-E581-419B-990C-9F140ADF13D6},220000,24/04/2012 00:00,BA1 6JJ,T,N,F,40,,CROFT ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{A05349A9-FCC6-44B3-8625-A03AFD2D7F86},295000,23/04/2012 00:00,BA1 4AR,F,N,L,THE ELMS,FLAT 6,WESTON PARK WEST,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{D0FDD658-E998-4FD5-9493-A3B103A645E9},680000,17/05/2012 00:00,BA1 6BD,D,N,F,GILFACH,,LONDON ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{88D53CFF-34FF-46B2-912F-A6BA9F25ABBC},435000,04/04/2012 00:00,BA2 3ND,T,N,F,6A,,OLDFIELD ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{42542FBE-3721-4497-952E-A9038D0294A5},250000,11/05/2012 00:00,BA2 2NB,F,N,L,11,,KINGSFIELD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{3181E0BF-501E-4D2B-A223-A9076CB29406},110000,03/04/2012 00:00,BA1 2QU,F,N,L,5,FLAT 5,ALFRED STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
